COMPLAINT ID,COMPLAINT TYPE,ADDRESS,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,INSPECTION LOG,DATA SOURCE,Modified Date,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
600220904,AIR POLLUTION WORK ORDER,2701 E 100TH ST,2701,,E,100TH,ST,29520,02/10/2017,FACILITY USE OIL AND CHEMICALS SPEWING OUTEXHAUST ALL OVER THE AREA.,"[INSPECTION LOG #: 2381565 10-FEB-17 10:49:00] CONDUCTED CITIZEN'S AIR POLLUTION COMPLAINT INVESTIGATION. AGRIFINE WAS CANVASSED STARTING FROM TORRENCE AVE, 100TH ST AND MUSKEGAN RD. WIND DIRECTION WAS MAINLY TO THE NORTH. THERE WAS NO VISIBLE POLLUTION OBSERVED NOR ODORS DETECTED DURING THIS INSPECTION. NO NOV OR DN WAS ISSUED AT THIS TIME. FACILITY WILL BE RE-INSPECTED AS PART OF P2 (POLLUTION PREVENTION) PROGRAM.",DEPT. OF PUBLIC HEALTH,02/10/2017,41.71324291275156,-87.55803846897774,POINT (-87.55803846897774 41.71324291275156),25,48,21202,527,47
600225395,AIR POLLUTION WORK ORDER,10138 S HOXIE AVE,10138,,S,HOXIE,AVE,29520,02/21/2017,PULLMAN INNOVATIONS INDOOR STRONG ROTTEN EGGS SMELL.,"[INSPECTION LOG #: 2435002 21-FEB-17 10:49:00] CONDUCTED CITIZEN'S AIR POLLUTION COMPLAINT INVESTIGATION. UPON ARRIVAL THIS RESIDENTIAL AREA WAS CANVASSED FROM E 100TH ST, S TORRENCE AVE AND S HOXIE. THERE AS NO DETECTABLE CHARACTERISTIC ROTTEN EGGS ODORS DETECTED IN THE AIR. THE CLOSEST INDUSTRIAL FACILITY IS AGRIFINE -LOCATED @ TORRENCE AND 100TH ST, BUT THERE WAS NOODORSCOMING FROM THIS SITE. NO NOV OR DN WAS ISSUED AT THIS TIME.",DEPT. OF PUBLIC HEALTH,02/21/2017,41.71059832821909,-87.56108954588134,POINT (-87.56108954588134 41.71059832821909),25,48,21202,527,37
600228429,AIR POLLUTION WORK ORDER,1735 N WOLCOTT AVE,1735,,N,WOLCOTT,AVE,,02/28/2017,CUTTING CONCRETE CAUSING DUST ALL OVER THE AREA.,[INSPECTION LOG #:   ],DEPT. OF PUBLIC HEALTH,02/28/2017,41.91334050186689,-87.67494639451704,POINT (-87.67494639451704 41.91334050186689),4,25,21560,438,40
600229195,AIR POLLUTION WORK ORDER,2701 E 100TH ST,2701,,E,100TH,ST,29520,03/01/2017,VERY STRONG ROTTEN EGGS SMELL COMING FROM FACILITY.,[INSPECTION LOG #: 2485363 01-MAR-17 11:12:00] CONDUCTED CITIZEN'S AIR POLLUTION COMPLAINT INVESTIGATION. FACILITY WAS CANVASSED FROM TORRENCE AV.AND 100TH ST. AND THERE WAS NONE ODOR DETECTED NEITHER VISIBLE EMISSIONS OBSERVED. FACILITY WILL BE RE-INSPECTED AND MONITORED FROM TIME TO TIME. ANNUAL INSPECTION WILL BE CONDUCTED AS WELL.,DEPT. OF PUBLIC HEALTH,03/01/2017,41.71324291275156,-87.55803846897774,POINT (-87.55803846897774 41.71324291275156),25,48,21202,527,47
600231666,AIR POLLUTION WORK ORDER,2701 E 100TH ST,2701,,E,100TH,ST,29520,03/07/2017,STRONG ROTTEN EGGS IN THE AIR COMING FROM FACILITY.,"[INSPECTION LOG #: 2509133 07-MAR-17 10:45:00] CONDUCTED CITIZEN'S AIR POLLUTION COMPLAINT INVESTIGATION. AGRIFINE WAS CANVASSED FROM TORRENCE AVE, 100TH ST AND MUSKEGAN ST. THERE WAS NO ODORS DETECTED NEITHER VISIBLE EMISSIONS OBSERVED. NO NOV OR DN WAS ISSUED THAN. FACILITY WILL BE RE-INSPECTED.",DEPT. OF PUBLIC HEALTH,03/07/2017,41.71324291275156,-87.55803846897774,POINT (-87.55803846897774 41.71324291275156),25,48,21202,527,47
600233523,AIR POLLUTION WORK ORDER,1752 N AUSTIN AVE,1752,,N,AUSTIN,AVE,,03/10/2017,CONSTRUCTION SITE CAUSING DUST ALL OVER THE AREA.,[INSPECTION LOG #:   ],DEPT. OF PUBLIC HEALTH,03/10/2017,41.91264018534521,-87.77548213749188,POINT (-87.77548213749188 41.91264018534521),2,26,22615,597,7
600250264,AIR POLLUTION WORK ORDER,3985 N MILWAUKEE AVE,3985,,N,MILWAUKEE,AVE,,04/12/2017,DEMO GOING ON AT ABOVE LOCATION CAUSING DUST ON THE SOUTH EAST CORNER.,[INSPECTION LOG #:   ],DEPT. OF PUBLIC HEALTH,04/17/2017,41.95330634445123,-87.74691419176918,POINT (-87.74691419176918 41.95330634445123),21,15,22618,139,50
600253411,AIR POLLUTION WORK ORDER,1634 W PERSHING RD,1634,,W,PERSHING,RD,60565,04/18/2017,CALLER STATES THAT IT SMELLS LIKE GLUE IN THE AREA.,[INSPECTION LOG #: 2795333 18-APR-17 11:35:00] THIS WAS A COMPLAINT ABOUT THE ODOR OF GLUE IN THE AREA. UPON MY ARRIVAL AND INSPECTION I COULD NOT DETECT ANY ODORS IN THE AREA.,DEPT. OF PUBLIC HEALTH,04/18/2017,41.82326582212309,-87.66685030291471,POINT (-87.66685030291471 41.82326582212309),37,56,14924,721,1
600267707,AIR POLLUTION WORK ORDER,3805 N KIMBALL AVE,3805,,N,KIMBALL,AVE,379542,05/12/2017,CSR COMPLAINT #17-02996468 ROTTEN EGG SMELL,"[INSPECTION LOG #: 2982374 12-MAY-17 11:25:00] ON MAY 12, 2017, CITY OF CHICAGO DEPARTMENT OF PUBLIC HEALTH INSPECTOR JOHN SINGLER RESPONDED TO AN ANONYMOUS COMPLAINT OF ROTTEN EGGS (SULPHUR) ODOR AT OR ABOUT 3805 N. KIMBALL, CHICAGO, IL. THE AREA IN QUESTION IS RESIDENTIAL BUT HEAVILY TRAFFICKED. THE ONLY POTENTIAL SOURCE OF EMISSION ODORS IN THE GENERAL VICINITY IS A CELLULAR TOWER WITH TWO BACK-UP GENERATORS. A TELEPHONE CALL PLACED TO THE ALDERWOMAN'S OFFICE DID NOT PRODUCE A CALLER OR FURTHER DATA CONCERNING THE CALLER. THIS COMPLAINT IS CLOSED.",DEPT. OF PUBLIC HEALTH,05/12/2017,41.95041904160918,-87.71265856256082,POINT (-87.71265856256082 41.95041904160918),39,16,21538,325,20
600267785,AIR POLLUTION WORK ORDER,2601 W 18TH ST,2601,2699,W,18TH,ST,29520,05/12/2017,CSR# 17-02987382 CHEMICAL ODOR FROM ROOF.,"[INSPECTION LOG #: 3021392 12-MAY-17 16:40:00] CONDUCTED CITIZEN'S AIR POLLUTION COMPLAINT INVESTIGATION. AFTER ARRIVAL TO THE AREA, FACILITY WAS CANVASSED AROUND THE PROPERTY AREA. THERE WAS NO ODORS DETECTED, NO LINT PARTICLES FOUND AT THE ALLEY OR 18TH ST. THE SERVICE OVERHEAD ALLEY ACCESS DOOR WAS CLOSED. ONLY ONE TRUCK WAS ABOUT TO BE UNLOADED. OWNERS WERE NOT AVAILABLE AT TIME OF THIS INSPECTION. NO NOV OR DN WAS ISSUED AT THIS TIME.",DEPT. OF PUBLIC HEALTH,05/18/2017,41.85734042157438,-87.69083392451414,POINT (-87.69083392451414 41.85734042157438),43,30,14920,762,14
