"Bank","Latitude","Longitude"
"JPMorgan Chase Bank, N.A.",41.94258,-87.66876
"JPMorgan Chase Bank, N.A.",41.93222,-87.67803
"Bank of America, National Association",41.79124,-87.70302
"JPMorgan Chase Bank, N.A.",41.94662,-87.70895
"BMO Harris Bank National Association",41.905,-87.66761
"Amalgamated Bank of Chicago",41.88287,-87.63244
"Citibank N.A.",41.84426,-87.72516
"JPMorgan Chase Bank, N.A.",41.97898,-87.69264
"Bank of America, National Association",41.79782,-87.72247
"BMO Harris Bank National Association",41.95308,-87.77637
"Fifth Third Bank, N.A.",41.88681,-87.6275
"JPMorgan Chase Bank, N.A.",41.68076,-87.64196
"PNC Bank, National Association",41.87259,-87.64713
"PNC Bank, National Association",41.87938,-87.63556
"JPMorgan Chase Bank, N.A.",41.89559,-87.70655
"Bank of America, National Association",41.91004,-87.73904
"Huntington National Bank",41.80814,-87.66807
"JPMorgan Chase Bank, N.A.",41.74319,-87.63346
"Fifth Third Bank, N.A.",41.9355,-87.71791
"BMO Harris Bank National Association",41.79544,-87.58541
"Citibank N.A.",41.92947,-87.64276
"Bank of America, National Association",41.91015,-87.67706
"JPMorgan Chase Bank, N.A.",41.89585,-87.64294
"Associated Bank",42.01939,-87.67535
"JPMorgan Chase Bank, N.A.",41.95232,-87.67746
"PNC Bank, National Association",41.88226,-87.63533
"BMO Harris Bank National Association",41.93781,-87.64434
"JPMorgan Chase Bank, N.A.",41.85123,-87.68643
"JPMorgan Chase Bank, N.A.",41.87931,-87.64174
"Citibank N.A.",41.87939,-87.63475
"JPMorgan Chase Bank, N.A.",41.88756,-87.64427
"PNC Bank, National Association",41.91773,-87.69759
"Fifth Third Bank, N.A.",41.89865,-87.68692
"PNC Bank, National Association",41.86659,-87.70975
"Bank of America, National Association",41.85203,-87.68436
"Fifth Third Bank, N.A.",41.94738,-87.66404
"Huntington National Bank",41.95439,-87.72801
"JPMorgan Chase Bank, N.A.",41.89157,-87.63538
"PNC Bank, National Association",41.93915,-87.72321
"BMO Harris Bank National Association",41.85786,-87.66151
"Citibank N.A.",41.78006,-87.70315
"JPMorgan Chase Bank, N.A.",41.88945,-87.63105
"Fifth Third Bank, N.A.",41.94726,-87.6472
"Associated Bank",41.886245,-87.632468
"Bank of America, National Association",41.97602,-87.80704
"PNC Bank, National Association",41.90478,-87.6345
"Fifth Third Bank, N.A.",41.80863,-87.66358
"JPMorgan Chase Bank, N.A.",41.87814,-87.63228
"JPMorgan Chase Bank, N.A.",41.91811,-87.65236
"Bank of America, National Association",41.89138,-87.6326
"Bank of America, National Association",42.01864,-87.676
"Fifth Third Bank, N.A.",41.77797,-87.75358
"Bank of America, National Association",41.93952,-87.70986
"Fifth Third Bank, N.A.",41.79952,-87.59097
"JPMorgan Chase Bank, N.A.",41.97873,-87.75741
"JPMorgan Chase Bank, N.A.",41.88179,-87.64682
"JPMorgan Chase Bank, N.A.",41.98842,-87.7794
"PNC Bank, National Association",41.94276,-87.68823
"JPMorgan Chase Bank, N.A.",41.85562,-87.62715
"Bank of America, National Association",41.9899,-87.70654
"BMO Harris Bank National Association",41.88315,-87.64769
"Bank of America, National Association",41.81756,-87.66518
"JPMorgan Chase Bank, N.A.",41.98366,-87.65746
"BMO Harris Bank National Association",41.88325,-87.63086
"JPMorgan Chase Bank, N.A.",41.72876,-87.55158
"BMO Harris Bank National Association",41.86724,-87.64012
"BMO Harris Bank National Association",41.9334,-87.71449
"JPMorgan Chase Bank, N.A.",41.98596,-87.66014
"PNC Bank, National Association",41.95795,-87.68093
"Fifth Third Bank, N.A.",41.87427,-87.63067
"Citibank N.A.",41.88067,-87.63472
"JPMorgan Chase Bank, N.A.",41.8443,-87.72188
"JPMorgan Chase Bank, N.A.",41.81434,-87.70381
"PNC Bank, National Association",41.9621,-87.65534
"Citibank N.A.",41.88067,-87.62446
"Bank of America, National Association",41.89099,-87.62412
"JPMorgan Chase Bank, N.A.",41.93905,-87.76734
"JPMorgan Chase Bank, N.A.",41.94716,-87.65758
"Fifth Third Bank, N.A.",41.99322,-87.71199
"BMO Harris Bank National Association",41.74332,-87.63208
"Bank of America, National Association",41.96829,-87.65958
"JPMorgan Chase Bank, N.A.",41.72247,-87.57749
"Citibank N.A.",41.89208,-87.62416
"JPMorgan Chase Bank, N.A.",41.99916,-87.66066
"BMO Harris Bank National Association",41.98584,-87.66929
"PNC Bank, National Association",41.69883,-87.68138
"Fifth Third Bank, N.A.",41.93178,-87.67751
"JPMorgan Chase Bank, N.A.",41.9611,-87.76762
"JPMorgan Chase Bank, N.A.",41.83077,-87.64537
"Huntington National Bank",41.88631,-87.63257
"PNC Bank, National Association",41.73651,-87.6054
"Fifth Third Bank, N.A.",41.84428,-87.72425
"Fifth Third Bank, N.A.",41.96823,-87.7287
"Bank of America, National Association",41.92055,-87.6629
"Associated Bank",41.97605,-87.76906
"Bank of America, National Association",41.7439,-87.63107
"Citibank N.A.",41.94518,-87.76673
"PNC Bank, National Association",41.84468,-87.71211
"BMO Harris Bank National Association",41.96455,-87.65689
"JPMorgan Chase Bank, N.A.",42.00947,-87.69017
"JPMorgan Chase Bank, N.A.",41.92392,-87.80569
"Associated Bank",41.99703,-87.76392
"JPMorgan Chase Bank, N.A.",41.92971,-87.70847
"BMO Harris Bank National Association",41.83144,-87.67592
"JPMorgan Chase Bank, N.A.",41.92092,-87.66342
"Bank of America, National Association",41.96658,-87.8381
"Fifth Third Bank, N.A.",41.89635,-87.68725
"JPMorgan Chase Bank, N.A.",41.96905,-87.65786
"BMO Harris Bank National Association",41.80732,-87.70395
"JPMorgan Chase Bank, N.A.",41.89875,-87.6241
"JPMorgan Chase Bank, N.A.",41.99365,-87.68975
"JPMorgan Chase Bank, N.A.",41.73662,-87.60715
"JPMorgan Chase Bank, N.A.",41.77976,-87.68365
"Bank of America, National Association",41.931,-87.78524
"PNC Bank, National Association",41.91971,-87.63692
"JPMorgan Chase Bank, N.A.",41.81246,-87.72266
"PNC Bank, National Association",41.76223,-87.58621
"Citibank N.A.",41.83151,-87.64612
"Bank of America, National Association",41.938,-87.80779
"Fifth Third Bank, N.A.",41.83406,-87.67437
"JPMorgan Chase Bank, N.A.",42.0194,-87.67585
"Bank of America, National Association",41.78176,-87.72284
"BMO Harris Bank National Association",41.90957,-87.75061
"JPMorgan Chase Bank, N.A.",41.90316,-87.6771
"Citibank N.A.",41.90077,-87.62804
"JPMorgan Chase Bank, N.A.",41.89269,-87.62968
"BMO Harris Bank National Association",41.77768,-87.78059
"Fifth Third Bank, N.A.",41.98194,-87.66977
"JPMorgan Chase Bank, N.A.",41.96993,-87.70852
"PNC Bank, National Association",41.88696,-87.62446
"PNC Bank, National Association",41.9373,-87.64431
"Huntington National Bank",41.96775,-87.65896
"Bank of America, National Association",41.79953,-87.59013
"PNC Bank, National Association",41.92367,-87.6876
"Fifth Third Bank, N.A.",41.98964,-87.66026
"JPMorgan Chase Bank, N.A.",41.90369,-87.6394
"PNC Bank, National Association",41.90285,-87.6675
"Fifth Third Bank, N.A.",41.92935,-87.78566
"Fifth Third Bank, N.A.",41.88173,-87.6324
"Citibank N.A.",41.72139,-87.68206
"JPMorgan Chase Bank, N.A.",41.93744,-87.64863
"PNC Bank, National Association",41.88124,-87.68112
"PNC Bank, National Association",41.89624,-87.67984
