Reporting Year,Bank,RFP Source,Data Description,Office Address,ZIP Code,Census Tract,Location
2022,Citibank N.A.,Form G,Depository Location,2555 N CLARK ST,,17031070102,
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,3335 N Ashland Ave,60657-2127,,POINT (-87.66876 41.94258)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,3714 N Broadway St,,170310609.00,POINT (-87.64869 41.94968)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,2790 N Clybourn Ave,60614,,POINT (-87.67803 41.93222)
2022,U.S. Bank,Form G,Depository Location,940 E Rand Rd,,8027.02,POINT (-87.92249 42.0671)
2022,Citibank N.A.,Form G,Depository Location,2801 W DEVON AVE,,17031020702,POINT (-87.69984 41.99757)
2022,Associated Bank,Form G,Depository Location,1763 W Howard St Chicago 60626,,102.02,POINT (-87.67535 42.01939)
2021,"Bank of America, National Association",Form G,Depository Locations,"5601 S Kedzie Ave., Chicago, IL 60629-2405",,17031630800,POINT (-87.70302 41.79124)
2022,U.S. Bank,Form G,Depository Location,3515 W Irving Park Rd,,1608.00,POINT (-87.71595 41.95376)
2022,PNC Bank,Form G,Depository Location,"3337 W NORTH AVE CHICAGO, IL 60647",,17031230900,POINT (-87.71095 41.91006)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,3225 W Addison St,60618-4328,,POINT (-87.70895 41.94662)
2022,Citibank N.A.,Form G,Depository Location,3535 N CENTRAL AVE,,17031151100,POINT (-87.76673 41.94518)
2021,BMO Harris Bank National Association,Form G,Depository Locations,1242 N. Ashland Ave,,17031241500,POINT (-87.66761 41.905)
2021,Amalgamated Bank of Chicago,Form G,Depository Locations,"30 N. LaSalle St., Chicago, IL. 60602",,8391,POINT (-87.63244 41.88287)
2022,Fifth Third Bank N.A,Form G,Depository Location,4800 N Western Ave,,17031040201,POINT (-87.6889 41.96878)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,5134 N Clark St,,170310310.00,POINT (-87.66835 41.97548)
2021,Citibank N.A.,Form G,Depository Locations,4010 W 26TH ST CHICAGO IL 60623,,3018.02,POINT (-87.72516 41.84426)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,5341 N Lincoln Ave,60625,,POINT (-87.69264 41.97898)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1130 W Taylor St,,170318333.00,POINT (-87.65553 41.86944)
2021,"Bank of America, National Association",Form G,Depository Locations,"5231 S Pulaski Rd., Chicago, IL 60632",,17031620100,POINT (-87.72247 41.79782)
2022,U.S. Bank,Form G,Depository Location,25 E Washington St,,3201.00,POINT (-87.62669 41.88325)
2022,U.S. Bank,Form G,Depository Location,18300 Kedzie Ave,,8299.02,POINT (-87.69472 41.5567)
2022,Bank of America,Form G,Depository Location,4500 W North Ave,,17031230500,POINT (-87.73904 41.91004)
2021,BMO Harris Bank National Association,Form G,Depository Locations,5960 West Irving Park Road,,17031150402,POINT (-87.77637 41.95308)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,1 E Wacker Dr,,17031320100,POINT (-87.6275 41.88681)
