Layer,Name,GEOID,Population,Count,Crude Rate
Community area,Rogers Park,1,52772,87,0.164860153
Community area,Norwood Park,10,41109,19,0.04621859
Community area,Jefferson Park,11,26201,23,0.087782909
Community area,Forest Glen,12,19579,5.5,0.028091322
Community area,North Park,13,17522,13,0.074192444
Community area,Albany Park,14,48549,24.5,0.050464479
Community area,Portage Park,15,63038,48.25,0.076541134
Community area,Irving Park,16,51911,41.5,0.07994452
Community area,Dunning,17,43120,20.75,0.048121521
Community area,Montclare,18,14412,11,0.076325284
Community area,Belmont Cragin,19,78151,103.5,0.132435925
Community area,West Ridge,2,77139,42,0.054447167
Community area,Hermosa,20,24127,25,0.103618353
Community area,Avondale,21,36245,46,0.126914057
Community area,Logan Square,22,71742,88.5,0.123358702
Community area,Humboldt Park,23,53832,697.5,1.295697726
Community area,West Town,24,87942,146,0.166018512
Community area,Austin,25,96753,777.5,0.803592653
Community area,West Garfield Park,26,17423,467,2.680365035
Community area,East Garfield Park,27,19995,465.5,2.328082021
Community area,Near West Side,28,67817,327,0.482179984
Community area,North Lawndale,29,34817,458,1.315449349
Community area,Uptown,3,52255,84.75,0.162185437
Community area,South Lawndale,30,71402,127,0.177866166
Community area,Lower West Side,31,33716,54,0.160161348
Community area,Loop,32,39135,147.5,0.376900473
Community area,Near South Side,33,27044,34,0.125721047
Community area,Armour Square,34,13847,14,0.101104932
Community area,Douglas,35,17630,74,0.419739081
Community area,Oakland,36,4280,10.33,0.24135514
Community area,Fuller Park,37,2549,24.83,0.974107493
Community area,Grand Boulevard,38,24586,81.08,0.329781176
Community area,Kenwood,39,14716,24.58,0.167029084
Community area,Lincoln Square,4,40412,36.25,0.089701079
Community area,Washington Park,40,12709,82.91,0.652372335
Community area,Hyde Park,41,23914,11.75,0.049134398
Community area,Woodlawn,42,24630,83.83,0.340357288
Community area,South Shore,43,45611,112.33,0.24627831
Community area,Chatham,44,31804,91.5,0.28769966
Community area,Avalon Park,45,9359,13.33,0.142429747
Community area,South Chicago,46,25975,39.33,0.151414822
Community area,Burnside,47,2514,4,0.15910899
Community area,Calumet Heights,48,13085,11,0.084065724
Community area,Roseland,49,38934,108,0.27739251
Community area,North Center,5,35150,12.75,0.036273115
Community area,Pullman,50,6866,11,0.160209729
Community area,South Deering,51,14125,20,0.14159292
Community area,East Side,52,21529,25,0.11612244
Community area,West Pullman,53,25788,42,0.16286645
Community area,Riverdale,54,7229,15.5,0.214414165
Community area,Hegewisch,55,9884,7,0.07082153
Community area,Garfield Ridge,56,35352,54.5,0.154163838
Community area,Archer Heights,57,14282,0.5,0.00350091
Community area,Brighton Park,58,45141,13.5,0.029906294
Community area,McKinley Park,59,15927,19.5,0.122433603
Community area,Lake View,6,91836,43.75,0.04763927
Community area,Bridgeport,60,33593,22,0.065489834
Community area,New City,61,43510,82.5,0.189611584
Community area,West Elsdon,62,18249,7,0.038358266
Community area,Gage Park,63,39439,15.5,0.039301199
Community area,Clearing,64,24519,16,0.065255516
Community area,West Lawn,65,33543,19,0.056643711
Community area,Chicago Lawn,66,55789,97.5,0.174765635
Community area,West Englewood,67,29899,135,0.451520118
Community area,Englewood,68,24322,120.83,0.496793027
Community area,Greater Grand Crossing,69,31543,98.83,0.313318327
Community area,Lincoln Park,7,63433,24.5,0.038623429
Community area,Ashburn,70,41280,22.5,0.054505814
Community area,Auburn Gresham,71,44959,153.5,0.341422185
Community area,Beverly,72,19950,13,0.065162907
Community area,Washington Heights,73,25075,43.5,0.173479561
Community area,Mount Greenwood,74,18633,10,0.053668223
Community area,Morgan Park,75,21714,22,0.101317123
Community area,O'Hare,76,14416,19,0.131798002
Community area,Edgewater,77,47343,33,0.069704075
Community area,Near North Side,8,95467,137.5,0.144028827
Community area,Edison Park,9,11521,0,0
