"Address","Date.of.Acquisition","Latitude","Longitude"
"6149 S THROOP ST","01/26/1917",41.7817327,-87.6567389
"503 N LAWNDALE AVE","",41.8901492,-87.7182442
"4256 S ST LAWRENCE AVE","",41.8168857,-87.6119985
"3401 W FULTON BLVD","05/09/1978",41.8860628,-87.7113883
"2848 W FLOURNOY ST","",41.8731217,-87.6979982
"1445 S KILBOURN AVE","",41.8609897,-87.7369006
"5117 S EMERALD AVE","",41.8010165,-87.643741
"7248 S UNION AVE","10/10/2007",41.7619971,-87.6418949
"6642 S WABASH AVE","12/11/1999",41.7736463,-87.6243044
"12633 S COMMERCIAL AVE","04/09/2001",41.6654424,-87.550422
"5202 S SANGAMON ST","",41.799534,-87.6492899
"10605 S EDBROOKE AVE","01/13/1995",41.7015103,-87.6193262
"11918 S LASALLE ST","02/26/2016",41.6773997,-87.6266169
"12319 S EDBROOKE AVE","11/22/2005",41.6701619,-87.6184632
"1501 E 69TH ST","10/07/1994",41.7694153,-87.5877273
"8957 S CARPENTER ST","08/12/2009",41.7306426,-87.6491996
"8332 S BURLEY AVE","04/28/1970",41.7437923,-87.5458037
"307 W 115TH ST","02/11/2011",41.684965,-87.6304514
"10818 S EDBROOKE AVE","02/04/2003",41.6974773,-87.6199609
"8343 S BUFFALO AVE","08/03/1998",41.7436079,-87.5438938
"12323 S EDBROOKE AVE","07/05/2005",41.6700659,-87.6184589
"10948 S STATE ST","07/14/2010",41.6947751,-87.6235104
"34 E 107TH ST","07/30/1992",41.7001578,-87.6219673
"309 W 115TH ST","02/11/2011",41.6849638,-87.6305431
"6846 S GREEN ST","04/11/1995",41.7692126,-87.6460863
"1140 W 61ST ST","04/25/2006",41.7835193,-87.6538207
"13551 S FOREST AVE","10/19/2007",41.6484959,-87.614536
"8357 S BURLEY AVE","01/26/2001",41.7431126,-87.5450934
"114 E 104TH PL","11/19/1998",41.7044659,-87.6199176
"10736 S STATE ST","03/27/2006",41.6987529,-87.6236245
"6233 S LAFLIN ST","04/30/1979",41.7803822,-87.6614653
"8423 S BURLEY AVE","11/18/1974",41.7422531,-87.545075
"12021 S INDIANA AVE","04/22/2008",41.67564,-87.6173819
"11836 S YALE AVE","04/20/2011",41.6786543,-87.6290342
"12052 S EDBROOKE AVE","06/27/2005",41.6747025,-87.6194562
"10010 S STATE ST","01/23/2008",41.7122022,-87.6239912
"142 E 107TH ST","02/13/1996",41.7001926,-87.6192163
"6128 S ABERDEEN ST","03/20/2006",41.7824136,-87.6524983
"12059 S INDIANA AVE","09/09/2008",41.6746198,-87.6173492
"621 E 90TH ST","03/12/2010",41.7308379,-87.6086775
"10500 S LAFAYETTE AVE","03/19/1991",41.7033564,-87.6249466
"10720 S EDBROOKE AVE","04/04/1979",41.6991882,-87.6200114
"6149 S MAY ST","02/17/2012",41.781817,-87.6529973
"9218 S PERRY AVE","07/14/1997",41.7265465,-87.6267229
"11755 S LOWE AVE","11/18/2011",41.6802615,-87.6380994
"8447 S BURLEY AVE","10/02/2001",41.7415676,-87.5450603
"625 E 92ND PL","04/23/1987",41.7262921,-87.6083907
"8434 S BUFFALO AVE","12/11/2000",41.7417795,-87.5445511
"9034 S BUFFALO AVE","",41.7309316,-87.5447156
"6159 S ELIZABETH ST","04/25/2002",41.7815429,-87.6555146
"6119 S MAY ST","01/31/2011",41.7826885,-87.6530195
"10753 S EDBROOKE AVE","01/13/1995",41.6983841,-87.6192875
"9334 S LASALLE ST","03/18/2002",41.7241672,-87.6278666
"9351 S PERRY AVE","04/30/2013",41.7238565,-87.6259528
"9901 S LOWE AVE","06/01/2011",41.7141241,-87.6390325
"3038 E 87TH ST","11/13/2001",41.7376819,-87.5499516
"10555 S PERRY AVE","07/07/1995",41.7019022,-87.6254102
"20 W 109TH ST","04/27/2009",41.6964795,-87.6241812
"726 N KEDZIE AVE","04/02/2020",41.89461,-87.7068777
"12042 S EDBROOKE AVE","04/01/1997",41.6749495,-87.6194635
"8448 S BUFFALO AVE","03/06/1986",41.7415049,-87.5445451
"8440 S BURLEY AVE","12/08/2000",41.7416962,-87.54576
"11949 S LASALLE ST","05/05/1999",41.6765279,-87.62591
"10725 S EDBROOKE AVE","10/12/1982",41.6991065,-87.6193088
"8734 S HOUSTON AVE","",41.7363299,-87.5504258
"10622 S EDBROOKE AVE","12/27/1995",41.7011659,-87.619999
"9309 S EVANS AVE","01/12/1995",41.7253585,-87.6054307
"6216 S JUSTINE ST","09/05/2006",41.7807738,-87.6633769
"5853 S MAY ST","11/20/2018",41.7880262,-87.6533536
"12329 S EDBROOKE AVE","07/05/2005",41.6698738,-87.6184501
"10853 S EDBROOKE AVE","08/14/2012",41.6965495,-87.6192342
"8836 S YALE AVE","11/09/1966",41.7332915,-87.6310101
"13319 S INDIANA AVE","04/07/2010",41.6530661,-87.6167973
"6038 S MAY ST","04/17/1969",41.7839094,-87.6537488
"8440 S BUFFALO AVE","12/11/2000",41.741711,-87.5445496
"11727 S STEWART AVE","01/11/2013",41.6807125,-87.6320065
"728 E 90TH ST","04/06/1993",41.7314349,-87.6059682
"5823 S THROOP ST","11/20/2018",41.787978,-87.6567978
"8460 S BUFFALO AVE","11/27/2000",41.7412039,-87.5443407
"706 E 90TH PL","03/03/2006",41.7304887,-87.6067496
"12002 S PRAIRIE AVE","03/05/2012",41.6760923,-87.6168885
"336 E 136TH ST","07/31/1992",41.6482213,-87.6134155
"11029 S EDBROOKE AVE","07/31/1992",41.693573,-87.6191442
"9334 S PERRY AVE","07/30/1992",41.7242249,-87.6266577
"6118 S MAY ST","06/12/1980",41.7826102,-87.6537163
"8749 S GENOA AVE","09/27/1995",41.7345032,-87.6443366
"306 E 134TH ST","04/18/2011",41.6521488,-87.6152472
"6206 S LAFLIN ST","10/27/1995",41.7810654,-87.6621822
"10610 S LAFAYETTE AVE","07/31/1992",41.7012333,-87.6248873
"6146 S ABERDEEN ST","04/23/1997",41.7819322,-87.6524858
"12050 S EDBROOKE AVE","06/27/2005",41.6747025,-87.6194562
"547 W 117TH ST","04/21/2009",41.6812335,-87.6366368
"10937 S EDBROOKE AVE","01/23/2003",41.6951059,-87.6191914
"11117 S EDBROOKE AVE","06/11/2010",41.6920135,-87.6192445
"9605 S BISHOP ST","09/27/2011",41.7193826,-87.6584365
"8427 S BUFFALO AVE","01/06/1989",41.7421307,-87.5438618
"11831 S STEWART AVE","01/17/2008",41.6787661,-87.6319477
"8868 S WINCHESTER AVE","02/01/1999",41.7320122,-87.6686413
"8508 S BUFFALO AVE","11/27/2000",41.7407828,-87.5445295
"11955 S YALE AVE","09/19/2012",41.6764018,-87.628276
"234 E 134TH ST","12/11/2000",41.6521462,-87.6158422
