"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2021,202101,42,2021010002587,3744.0,2021000000421,110001,4,1,3744.0,0,0,1,24,6,2,200,0,0,8,81,1,10,3600,1,11
2021,202101,666,2021010041233,7956.0,2021000006661,130301,4,1,7956.0,0,0,2,20,6,1,100,0,0,7,71,1,10,0,1,11
2021,202101,2070,2021010124528,9360.0,2021000020701,250001,4,1,9360.0,0,0,1,19,6,8,826,1,100,6,63,1,14,27000,1,12
2021,202101,3474,2021000054030,10764.0,2021000034741,130401,1,2,14820.0,0,0,2,42,6,1,100,0,0,7,71,1,10,46000,1,11
2021,202101,4098,2021000100191,8112.0,2021000040981,90001,1,1,8112.0,1,0,2,44,6,1,100,0,0,8,81,1,10,41000,1,11
2021,202101,4722,2021000141885,22776.0,2021000047221,170001,1,1,22776.0,4,0,2,41,1,1,100,0,0,11,114,1,10,32000,1,11
2021,202101,4722,2021000141885,22776.0,2021000047221,170001,1,2,16536.0,4,0,1,40,1,1,100,0,0,10,101,1,10,90000,1,11
2021,202101,4878,2021000153508,33852.0,2021000048781,60001,1,1,33852.0,2,0,1,58,1,1,100,0,0,7,71,1,10,180000,1,11
2021,202101,4878,2021000153508,33852.0,2021000048781,60001,1,2,19812.0,2,0,2,54,1,1,100,0,0,6,65,1,10,0,1,11
2021,202101,4878,2021000153508,33852.0,2021000048781,60001,1,3,32604.0,0,0,2,27,6,1,100,0,0,6,63,1,10,5000,1,11
2021,202101,5190,2021000176884,9204.0,2021000051901,250001,1,1,9360.0,1,0,2,57,1,1,100,0,0,10,101,1,12,33000,1,11
2021,202101,5190,2021000176884,9204.0,2021000051901,250001,1,2,9204.0,1,0,1,63,1,1,100,0,0,2,25,1,12,9000,1,11
2021,202101,5346,2021000186829,14508.0,2021000053461,200001,1,1,14508.0,2,2,1,32,1,1,100,0,0,10,101,1,14,86000,1,12
2021,202101,5346,2021000186829,14508.0,2021000053461,200001,1,2,8580.0,2,2,2,30,1,1,100,0,0,10,101,1,10,2100,1,11
2021,202101,5658,2021000209119,12168.0,2021000056581,130301,1,1,12168.0,1,0,2,59,1,1,100,0,0,11,114,1,10,18000,1,11
2021,202101,5658,2021000209119,12168.0,2021000056581,130301,1,2,11076.0,1,0,1,52,1,1,100,0,0,11,114,1,10,75000,1,11
2021,202101,5814,2021000220683,15756.0,2021000058141,130101,1,1,15756.0,0,0,2,56,4,1,100,0,0,10,101,1,10,28000,1,11
2021,202101,5814,2021000220683,15756.0,2021000058141,130101,1,2,4056.0,0,0,1,63,4,8,802,0,0,7,71,1,10,26000,1,11
2021,202101,6282,2021000251715,2808.0,2021000062821,250001,1,1,2808.0,1,1,2,25,1,1,100,0,0,6,65,1,10,18000,1,11
2021,202101,6282,2021000251715,2808.0,2021000062821,250001,1,2,4524.0,1,1,1,27,1,2,200,0,0,7,71,1,10,20000,1,11
2021,202101,6594,2021000273313,25272.0,2021000065941,60001,1,1,25428.0,0,0,1,26,1,1,100,0,0,8,81,1,10,54000,1,11
2021,202101,6594,2021000273313,25272.0,2021000065941,60001,1,2,26364.0,0,0,2,23,1,1,100,0,0,8,81,1,10,62000,1,11
2021,202101,7062,2021000304323,12168.0,2021000070621,210001,1,1,12168.0,0,0,1,43,1,2,200,0,0,6,64,1,10,35000,1,11
2021,202101,7062,2021000304323,12168.0,2021000070621,210001,1,2,11700.0,0,0,2,36,1,2,200,0,0,6,63,1,10,25000,1,11
2021,202101,7374,2021000323748,4680.0,2021000073741,230001,1,1,4680.0,1,1,1,31,4,1,100,0,0,6,63,1,10,45800,1,11
2021,202101,7374,2021000323748,4680.0,2021000073741,230001,1,2,6084.0,1,1,2,22,6,1,100,0,0,7,71,1,10,28000,1,11
2021,202101,7530,2021000335447,12012.0,2021000075301,60001,1,1,12012.0,0,0,2,57,2,2,200,0,0,6,65,1,10,47000,1,11
2021,202101,7686,2021000346231,7488.0,2021000076861,120001,1,1,7332.0,1,0,2,44,4,2,200,0,0,11,114,1,10,55000,1,11
2021,202101,7842,2021000355820,4524.0,2021000078421,130301,1,1,4524.0,0,0,2,40,6,1,100,0,0,10,101,1,10,0,1,11
2021,202101,7842,2021000355820,4524.0,2021000078421,130301,1,2,7332.0,0,0,2,48,5,1,100,0,0,6,64,1,10,24000,1,11
2021,202101,7998,2021000365466,26988.0,2021000079981,210001,1,1,26988.0,0,0,2,51,4,1,100,0,0,11,114,1,10,45000,1,11
2021,202101,8154,2021000376705,5148.0,2021000081541,30201,1,2,3744.0,0,0,2,54,6,1,100,0,0,10,101,1,10,19200,1,11
2021,202101,8310,2021000386582,10296.0,2021000083101,60001,1,1,10296.0,0,0,2,63,1,1,100,0,0,7,71,1,10,30200,1,11
2021,202101,8310,2021000386582,10296.0,2021000083101,60001,1,2,12480.0,0,0,1,63,1,1,100,0,0,11,114,1,10,20000,1,11
2021,202101,8466,2021000398870,79404.0,2021000084661,160001,1,1,79404.0,1,0,2,39,1,2,200,0,0,6,63,1,10,30000,1,11
2021,202101,8466,2021000398870,79404.0,2021000084661,160001,1,2,60684.0,1,0,1,39,1,2,200,0,0,6,63,1,10,30000,1,11
2021,202101,8622,2021000409409,8736.0,2021000086221,220001,1,2,13728.0,3,3,2,26,6,2,200,0,0,6,63,1,10,7000,1,11
2021,202101,9090,2021000440505,13572.0,2021000090901,80001,1,1,13572.0,0,0,1,56,1,1,100,0,0,6,65,1,10,55000,1,13
2021,202101,9090,2021000440505,13572.0,2021000090901,80001,1,2,22152.0,0,0,2,53,1,1,100,0,0,6,65,1,10,45000,1,11
2021,202101,9246,2021000451465,14976.0,2021000092461,200001,1,1,15132.0,1,0,1,40,1,1,100,0,0,11,114,1,10,150000,1,11
2021,202101,9558,2021000475066,7956.0,2021000095581,80001,1,1,7956.0,1,1,2,39,1,1,100,0,0,10,101,1,10,25000,1,11
2021,202101,9558,2021000475066,7956.0,2021000095581,80001,1,2,14352.0,1,1,1,42,1,1,100,0,0,11,114,1,10,3200,1,11
2021,202101,10026,2021000505056,2184.0,2021000100261,250001,1,6,6396.0,3,3,2,23,2,1,100,0,0,7,71,1,10,18700,1,11
2021,202101,10338,2021000526349,44772.0,2021000103381,70001,1,1,44772.0,1,1,2,21,2,1,100,0,0,10,101,1,12,10400,1,11
2021,202101,10494,2021000537335,17472.0,2021000104941,270301,1,1,17472.0,2,1,2,38,1,1,100,0,0,11,114,1,10,50000,1,11
2021,202101,10494,2021000537335,17472.0,2021000104941,270301,1,2,16692.0,2,1,1,38,1,1,100,0,0,10,101,1,10,57000,1,11
2021,202101,10806,2021000559598,38376.0,2021000108061,60001,1,2,29640.0,2,0,1,52,1,1,100,0,0,6,63,1,10,110000,1,11
2021,202101,10962,2021000570715,18720.0,2021000109621,60001,1,1,18876.0,2,1,1,40,6,1,100,0,0,6,64,1,10,36000,1,11
2021,202101,10962,2021000570715,18720.0,2021000109621,60001,1,2,16068.0,2,1,2,29,4,1,100,0,0,8,81,1,10,34000,1,11
2021,202101,11118,2021000580260,11076.0,2021000111181,30101,1,1,10920.0,0,0,1,33,6,2,200,0,0,8,81,1,10,35000,1,11
2021,202101,11274,2021000591489,1716.0,2021000112741,80001,1,2,2184.0,1,0,2,56,1,1,100,0,0,10,101,1,10,37000,1,11
2021,202101,11742,2021000621438,21216.0,2021000117421,30201,1,4,19032.0,1,0,2,44,1,1,100,0,0,8,81,1,10,35600,1,11
2021,202101,12210,2021000654889,2964.0,2021000122101,250001,1,1,2964.0,0,0,1,61,1,1,100,0,0,6,65,1,10,36000,1,11
2021,202101,12210,2021000654889,2964.0,2021000122101,250001,1,2,3588.0,0,0,2,52,1,8,813,0,0,8,81,1,10,53000,1,11
2021,202101,12366,2021000664252,936.0,2021000123661,170001,1,1,936.0,0,0,1,57,4,2,200,0,0,7,71,1,10,34900,2,20
2021,202101,12522,2021000673882,15756.0,2021000125221,70001,1,1,15600.0,2,1,2,32,1,1,100,0,0,11,114,1,10,52000,1,11
2021,202101,12522,2021000673882,15756.0,2021000125221,70001,1,2,14664.0,2,1,1,35,1,1,100,0,0,6,61,1,10,12000,1,11
2021,202101,12990,2021000704998,26988.0,2021000129901,30201,1,1,27144.0,0,0,1,32,6,9,907,4,498,6,65,1,10,40000,1,11
2021,202101,12990,2021000704998,26988.0,2021000129901,30201,1,2,24024.0,0,0,2,28,6,1,100,0,0,6,63,1,10,25000,1,11
2021,202101,13458,2021000736828,29640.0,2021000134581,260001,1,1,29796.0,2,1,1,36,1,1,100,0,0,10,101,1,10,50000,1,11
2021,202101,13458,2021000736828,29640.0,2021000134581,260001,1,2,24024.0,2,1,2,32,1,1,100,0,0,10,101,1,10,15000,1,11
2021,202101,13614,2021000748361,9828.0,2021000136141,130301,1,1,9984.0,1,0,2,48,1,1,100,0,0,10,101,1,10,0,1,11
2021,202101,13614,2021000748361,9828.0,2021000136141,130301,1,2,7176.0,1,0,1,50,1,1,100,0,0,0,2,1,10,54000,1,11
2021,202101,13770,2021000758414,43836.0,2021000137701,30101,1,1,43836.0,0,0,1,29,6,1,100,0,0,10,101,1,10,70000,1,11
2021,202101,13770,2021000758414,43836.0,2021000137701,30101,1,2,35412.0,0,0,1,28,6,1,100,0,0,8,81,1,10,15300,1,11
2021,202101,14238,2021000791195,5616.0,2021000142381,40001,1,2,4836.0,0,0,1,41,1,1,100,0,0,7,71,1,10,100000,1,11
2021,202101,14550,2021000811845,15756.0,2021000145501,20001,1,3,24024.0,0,0,1,37,6,2,200,0,0,10,101,1,10,38000,1,11
2021,202101,14862,2021000834347,9516.0,2021000148621,230001,1,1,9516.0,0,0,2,52,5,1,100,0,0,7,71,1,10,35000,1,11
